,countries,Funding,counts
6310,Finland,Turku University Hospitals,1
6311,Finland,Turun Yliopisto,1
6312,Finland,"Turun Yliopisto, UTU",1
6313,Finland,"Turun Yliopistollinen Keskussairaala, AUCS",3
6314,Finland,"Turun Yliopistollinen Keskussairaala, TYKS",1
6315,Finland,"U.S. Department of Health and Human Services, HHS",1
6316,Finland,"U.S. Department of Veterans Affairs, VA",2
6317,Finland,UK 8Wellcome Trust Centre for Human Genetics,1
6318,Finland,Unilever,1
6319,Finland,"Universitetet i Bergen, UiB",1
6320,Finland,"University College Dublin, UCD",1
6321,Finland,"University Hospital Foundation, UHF",1
6322,Finland,"University of California, Irvine, UCI",1
6323,Finland,University of Chicago,1
6324,Finland,University of Dundee,1
6325,Finland,University of Edinburgh,1
6326,Finland,University of Helsinki,1
6327,Finland,University of Helsinki and Biocenter Finland,1
6328,Finland,University of Helsinki and Biocentre Finland,1
6329,Finland,University of Helsinki including Helsinki University Central Hospital,1
6330,Finland,University of Illinois at Chicago,1
6331,Finland,University of Mississippi Medical Center,2
6332,Finland,"University of New Mexico, UNM",1
6333,Finland,University of Oxford,1
6334,Finland,University of Sydney,1
6335,Finland,"University of Sydney, Usyd",1
6336,Finland,University of Tasmania,1
6337,Finland,"University of Virginia, UV",1
6338,Finland,University of Washington,1
6339,Finland,"UniversitÃ© Laval, UL",1
6340,Finland,"Urban Child Institute, UCI",1
6341,Finland,Vaasa Hospital District,1
6342,Finland,Vaasan Keskussairaala,2
6343,Finland,Vasa Hospital District,1
6344,Finland,Vasa Hospital district,1
6345,Finland,Venture Fund,1
6346,Finland,"Vetenskapsrådet, VR",4
6347,Finland,Vinnova Swelife,1
6348,Finland,Visual Sciences Academic Clinical Program,1
6349,Finland,"Wake Forest School of Medicine, WFSM",1
6350,Finland,"Wake Forest University, WFU",1
6351,Finland,Waldemar von Frenckells Stiftelse,10
6352,Finland,Wellcome Trust Case Control Consortium 2,1
6353,Finland,"Wellcome Trust, WT",1
6354,Finland,Western,1
6355,Finland,Wiipurilaisen osakunnan stipendirahastot,1
6356,Finland,Wilhelm och Else Stockmanns Stiftelse,3
6357,Finland,WilhelmochElse StockmannsStiftelse,1
6358,Finland,"William Harvey Research Foundation, WHRF",1
6359,Finland,Yrjo Jahnsson Foundation,1
6360,Finland,Yrjö Jahnssonin Säätiö,3
6361,Finland,medical leader is Yunnan Province,1
6362,Finland,Ögonfonden,4
6363,Finland,“Liv and Hälsa“ Society,1
6364,France,28Singapore Eye Research Institute,1
6365,France,AFRP,2
6366,France,AGIR à Dom,1
6367,France,AJD,2
6368,France,ANR-GANDHI,2
6369,France,ANR-NOVA,2
6370,France,AbbVie,4
6371,France,AbbVie Allergan,4
6372,France,AbbVie-Allergan,2
6373,France,Abbott Diabetes Care,1
6374,France,Abbott Laboratories,14
6375,France,Abraham J. and Phyllis Katz Foundation,6
6376,France,Academy of Finland,1
6377,France,"Academy of Finland, AKA",4
6378,France,Addenbrooke's Charitable Trust,2
6379,France,Addenbrooke’s Charitable Trust,2
6380,France,Adverum Biotechnologies,2
6381,France,"Agence Nationale de Sécurité du Médicament et des Produits de Santé, ANSM",2
6382,France,"Agence Nationale de la Recherche, ANR",33
6383,France,"Agence Régionale de Santé Île-de-France, ARS",1
6384,France,AgenceNationale de la Recherche,2
6385,France,"Agencia Estatal de Investigación, AEI",2
6386,France,"Agency for Science, Technology and Research, A*STAR",1
6387,France,"Agentúra na Podporu Výskumu a Vývoja, APVV",2
6388,France,Aide aux Jeunes Diab?tiques,2
6389,France,Aide aux Jeunes Diabétiques,2
6390,France,Aide aux JeunesDiabétiques,2
6391,France,Air Liquide Health Care international,4
6392,France,Alcon,3
6393,France,Alcon (Fort Worth,1
6394,France,Alcon Hellas,1
6395,France,Alcon Laboratories,1
6396,France,Alcon Laboratories Inc.,1
6397,France,"Alcon Research Institute, ARI",2
6398,France,"Alcon, Allegro, Allergan",2
6399,France,"Alcon, Allergan",2
6400,France,Alcon/Novartis,4
6401,France,Alexander von Humboldt-Stiftung,1
6402,France,"Algemene Nederlandse Vereniging ter voorkoming van Blindheid, ANVVB",1
6403,France,Alimera Sciences,1
6404,France,"Alimera Sciences, ALIM",2
6405,France,"Allegro, Allergan",1
6406,France,Allergan,28
6407,France,Allergan Hellas,1
6408,France,Alnylam,2
6409,France,"American Diabetes Association, ADA",2
6410,France,"American Heart Association, AHA",2
6411,France,"American Historical Association, AHA",2
6412,France,Amgen,13
6413,France,Amylin Pharmaceuticals,1
6414,France,Anglia Ruskin University,2
6415,France,Animal Visual Assessment Core,1
6416,France,Antoine Turmel Foundation,2
6417,France,ApotheCom,1
6418,France,"Arnold and Mabel Beckman Foundation, AMBF",2
6419,France,"Assistance Publique - Hôpitaux de Paris, AP-HP",1
6420,France,Assistance publique-Hôpitaux de Paris,2
6421,France,Association CRO,2
6422,France,Association Contre lOVR,2
6423,France,"Association Diabète Risque Vasculaire, ADRV",7
6424,France,"Association Française contre les Myopathies, AFM",3
6425,France,Association Française des Amblyopes Unilatéraux,2
6426,France,Association Française des Diabétiques,4
6427,France,Association Française des Diabé‑ tiques,1
6428,France,"Association Nationale de la Recherche et de la Technologie, ANRT",1
6429,France,Association de Cardiologie de Bourgogne,1
6430,France,"Association pour la Recherche sur le Cancer, ARC",1
6431,France,"Astellas Pharma US, APUS",2
6432,France,Asten Sant?,1
6433,France,Asten Santé,1
6434,France,Asten Santé SA,1
6435,France,AstraZeneca,19
6436,France,"Australian Research Council, ARC",2
6437,France,Aviesan/AstraZeneca,1
6438,France,Azienda Ospedaliero Universitaria Pisana,1
6439,France,Barnabas Gellen,2
6440,France,Bausch & Lomb,1
6441,France,"Bausch & Lomb (Rochester, New York, USA",1
6442,France,Bausch & Lomb and Santen,1
6443,France,Bayer,29
6444,France,"Bayer AG, Basel",1
6445,France,Bayer Consumer Care,1
6446,France,Bayer Consumer Care AG,7
6447,France,"Bayer Consumer Care AG, Basel, Switzerland",5
6448,France,Bayer Fund,2
6449,France,"Bayer Fund, BF",10
6450,France,"Bayer HealthCare, BHC",7
6451,France,Bayer Healthcare,1
6452,France,Bayer Healthcare SAS,4
6453,France,Bayer Hellas,1
6454,France,Bayer Shering-Pharma,2
6455,France,Bayer Consumer Care AG,2
6456,France,Becton Dickinson,1
6457,France,"Beijing Shanggong Medical Technology Co., Ltd.",1
6458,France,Berlin-Chemie AG/Menarini Group,2
6459,France,"Berwick Eye Center, Victoria",1
6460,France,Beyeonics Surgical,2
6461,France,"Biomedical Research Council, BMRC",2
6462,France,Boehringer,4
6463,France,Boehringer Ingelheim,11
6464,France,"Boehringer Ingelheim, BI",7
6465,France,Bright Focus Foundation,1
6466,France,"BrightFocus Foundation, BFF",1
6467,France,"Bristol-Myers Squibb, BMS",3
6468,France,Bristol-Myers-Squibb,2
6469,France,British Council to Prevent Blindness,1
6470,France,"British Heart Foundation, BHF",3
6471,France,British Heart Foundation/Diabetes UK/The George Institute,2
6472,France,"Bundesministerium für Bildung und Forschung, BMBF",3
6473,France,Bureau Interprofessionnel des Vins de Bourgogne,1
6474,France,"Burroughs Wellcome Fund, BWF",2
6475,France,CADASIL,1
6476,France,CEPS,1
6477,France,CHRU de Nancy,1
6478,France,CHU de Poitiers,2
6479,France,CJFB,2
6480,France,CNAM-INSERM research,2
6481,France,CNAMTS,1
6482,France,CRO,4
6483,France,Caisse Nationale Maladie des Travailleurs Salariés,2
6484,France,"Caisse nationale de solidarité pour l'autonomie, CNSA",2
6485,France,Camille Waseta,1
6486,France,Canada Foundation for Innovation,2
6487,France,"Canada Foundation for Innovation, CFI",2
6488,France,Canada Research Chairs,2
6489,France,"Canadian Diabetes Association, CDA",2
6490,France,"Canadian Institutes of Health Research, CIHR",5
6491,France,"Canadian Institutes of Health Research, IRSC",2
6492,France,Canadian the Heart & Stroke Foundation Canada,2
6493,France,Carl Zeiss Meditec AG,4
6494,France,"Case Western Reserve University, CWRU",2
6495,France,Celltrion,2
6496,France,"Center for Advanced Retinal and Ocular Therapeutics, Perelman School of Medicine, University of Pennsylvania, CAROT",2
6497,France,CenterVue,2
6498,France,"Centre Hospitalier Universitaire de Nantes, CHU de Nantes",1
6499,France,"Centre Hospitalier Universitaire de Poitiers, PUH",4
6500,France,"Centre National de la Recherche Scientifique, CNRS",2
6501,France,Centre for Clinical Eye Research,1
6502,France,Centre for Clinical Research Excellence in Translational Clinical Research in Eye Diseases,2
6503,France,"Centre for Eye Research Australia, Victoria",1
6504,France,"Centre for Muslim States and Societies, School of Social and Cultural Studies, University of Western Australia, CMSS",1
6505,France,"Centre hospitalier régional universitaire de Lille, CHU",2
6506,France,Charlotte Hulin,2
6507,France,Chengdu Kanghong,2
6508,France,Chest Heart and Stroke Association,2
6509,France,Chief Scientist Office Scotland and Diabetes UK,2
6510,France,"China Scholarship Council, CSC",2
6511,France,Circadian Light Therapy Inc.,2
6512,France,Claffy Foundation,1
6513,France,Clinical Research Associates,4
6514,France,"Cole Foundation, CF",2
6515,France,"Collaboration for Leadership in Applied Health Research and Care - Greater Manchester, NIHR CLAHRC Greater Manchester",2
6516,France,"College of Medicine, University of California, Irvine",2
6517,France,Collège de France,1
6518,France,Comit National Coordination Action Handicap,2
6519,France,Comité National Coordination Action Handicap,2
6520,France,Comité National Informatique et Libertés,1
6521,France,Communication Manager of l'Institut du Thorax,2
6522,France,Conseil Général des Alpes-Maritimes,1
6523,France,Conseil Régional PACA,1
6524,France,Conseil Régional des Pays de la Loire,1
6525,France,Conseil régional de Bourgogne-Franche-Comté,3
6526,France,Conseils Régionaux d’Aquitaine et Bourgogne,2
6527,France,"Consejo Nacional de Ciencia y Tecnología, CONACYT",2
6528,France,DORC,1
6529,France,DRCI,4
6530,France,DUK,2
6531,France,David Sarraf: consultant for Amgen,1
6532,France,Department of Cellular Pathology,1
6533,France,"Department of Clinical & Experimental Medicine, Faculty of Health & Medical Sciences",2
6534,France,"Department of Computer Science, University of Oxford",2
6535,France,Department of Diabetes & Endocrinology,2
6536,France,Department of Ophthalmology at Massachusetts Eye and Ear,1
6537,France,Diabetes Centre,2
6538,France,Diabetes Research Centre,2
6539,France,Diabetes UK,5
6540,France,Diabetes and Endocrinology Department,2
6541,France,Diabnext and Applied Therapeutics,2
6542,France,Dinno Santé and Pierre Fabre Santé,2
6543,France,"Dinno Santé, Elivie, Homeperf",1
6544,France,Direction Générale de la Santé,2
6545,France,"Direction Générale de l’offre de Soins, DGOS",1
6546,France,Direction de la Recherche Clinique et de l’Innovation,2
6547,France,Directorate of Health Care Provision,1
6548,France,"Doncaster Eye Center, Victoria",1
6549,France,Duke-NUS,1
6550,France,E. Matilda Ziegler Foundation for the Blind,1
6551,France,ELSAN,2
6552,France,EPSRC TUSCA,1
6553,France,ERC StG,2
6554,France,ESM,2
6555,France,EURAGE-DIC,1
6556,France,"Economic History Society, EHS",1
6557,France,"Economic and Social Research Council, ESRC",1
6558,France,"Edmond de Rothschild Foundation, EDRF",1
6559,France,Edward N. and Della L. Thome Memorial Foundation,2
6560,France,Egyptian Fulbright Mission Program,1
6561,France,Eli Lilly and Company,25
6562,France,Else Stockmann Foundation,4
6563,France,"Engineering Research Centers, ERC",2
6564,France,"Engineering and Physical Sciences Research Council, EPSRC",3
6565,France,"Envision Eye Centre, New South Wales",1
6566,France,Erik Serné,1
6567,France,"European Commission, EC",8
6568,France,European Community,3
6569,France,European Economic Community,2
6570,France,"European Federation of Pharmaceutical Industries and Associations, EFPIA",1
6571,France,"European Foundation for the Study of Diabetes, EFSD",1
6572,France,European Funding for Regional Economic Development,1
6573,France,"European Regional Development Fund, ERDF",6
6574,France,"European Regional Development Fund, FEDER",4
6575,France,"European Research Council, ERC",12
6576,France,"European Social Fund, ESF",2
6577,France,European Union’s Horizon 2020 InSilc,1
6578,France,"Eye Associates, New South Wales",1
6579,France,Eye Birth Defects Foundation Inc.,2
6580,France,"Eye Specialists Greensborough, Victoria",1
6581,France,Eye and Ear Foundation of Pittsburgh,2
6582,France,F. Hoffmann-La Roche,4
6583,France,FCT Fundação para a Ciência e a Tecnologia,1
6584,France,FPIS,2
6585,France,Faculty of Biology and Medicine Research Commission Fund,2
6586,France,"Family Process Institute, FPI",1
6587,France,Farmila-Thea,2
6588,France,Fedération des Aveugles et Handicapés Visuels de France,2
6589,France,Ferrer,2
6590,France,Fight Retinal Blindness!,1
6591,France,Fight for Sight UK,2
6592,France,"Fight for Sight, FFS",1
6593,France,Finska Läkaresällskapet,2
6594,France,"FishAmerica Foundation, FAF",2
6595,France,Flinders University,1
6596,France,Folkhälsanin Tutkimussäätiö,4
6597,France,Fond Européen de Développement Régional,2
6598,France,"Fondation Francophone pour la Recherche sur le Diabète, FFRD",4
6599,France,Fondation Ophtalmologique A. de Rothschild,4
6600,France,Fondation Plan Alzheimer,2
6601,France,Fondation Rolland Bailly,2
6602,France,Fondation Visio,2
6603,France,Fondation Voir et Entendre,2
6604,France,Fondation de France,7
6605,France,Fondation de France/Fondation,1
6606,France,Fondation de l'Avenir pour la Recherche Médicale Appliquée,4
6607,France,Fondation de l'œil,1
6608,France,"Fondation pour la Recherche Médicale, FRM",8
6609,France,Fondazione Pisa,1
6610,France,Fondazione Romeo ed Enrica Invernizzi,1
6611,France,"Fondazione Telethon, FT",2
6612,France,"Fonds de Recherche du Québec - Santé, FRQS",6
6613,France,Fonds de dotation du CHU de Nantes,2
6614,France,Foundation Fighting Blindness Canada,2
6615,France,"Foundation Fighting Blindness, FFB",10
6616,France,Foundation for the Arts,2
6617,France,Foundation for the Promotion of Industrial Science,2
6618,France,Franche-Comte,1
6619,France,French Clinical Research Network,2
6620,France,French Diabetes Society,2
6621,France,French Fondation de France,2
6622,France,French Government,1
6623,France,French Lions Club,1
6624,France,French Ministry of Research,1
6625,France,French National Institute of Health and Medical Research,2
6626,France,French-Speaking Diabetes Society,1
6627,France,Friedrich-Baur-Stiftung,2
6628,France,Fundación Cruz del Sur de Buenos Aires,2
6629,France,"Fundação para a Ciência e a Tecnologia, FCT",1
6630,France,Fédération Française des Diabétiques,6
6631,France,Fédération des Aveugles de France,4
6632,France,Fédération des Aveugles et Handicapés Visuels de France,2
6633,France,GALAHAD,1
6634,France,GenSight,2
6635,France,Genentech,14
6636,France,Genetics Department,2
6637,France,Genzyme,1
6638,France,George Institute,2
6639,France,George Institute for Global Health,2
6640,France,Gilead Sciences,5
6641,France,"Glaucoma Research Foundation, GRF",1
6642,France,GlaxoSmithKline,1
6643,France,"GlaxoSmithKline, GSK",5
6644,France,"Global Challenges Research Fund, GCRF",1
6645,France,GrayBug,1
6646,France,Greater Lee’s Summit Healthcare Foundation,1
6647,France,Groupement pour l’Etude des Maladies Métaboliques et Systémiques,4
6648,France,Groupement pour l’Etude des Maladies Métabo‑ liques et Systémiques,1
6649,France,Guerrieri Family Foundation,2
6650,France,Haagse Stichting Blindenhulp,3
6651,France,Harold de Valk,1
6652,France,Harvard Catalyst,2
6653,France,Hawthorn Eye Clinic,1
6654,France,Health Technology Assessment,1
6655,France,Health and Care Research Wales,1
6656,France,Heart & Stroke Foundation of Québec,2
6657,France,"Heidelberg Center for American Studies, University of Heidelberg",1
6658,France,Heidelberg Engineering,5
6659,France,Helmholtz Association,2
6660,France,"Helse Sør-Øst RHF, sorost",2
6661,France,Helse Vest,2
6662,France,"Helsingin Yliopisto, HY",1
6663,France,"Helsingin ja Uudenmaan Sairaanhoitopiiri, HUS",2
6664,France,Hess Foundation,1
6665,France,Hillman Cancer Center,2
6666,France,"Hjartavernd, IHA",2
6667,France,Hoffmann-La-Roche,2
6668,France,Hong Kong Government General Research Fund,1
6669,France,"Hong Kong Polytechnic University, PolyU",1
6670,France,Honoraria – Novartis,1
6671,France,Horizon 2020,6
6672,France,"Horizon 2020 Framework Programme, H2020",4
6673,France,"Hornsby Eye Specialists, New South Wales",1
6674,France,Hospital Clinical Research Program,2
6675,France,Hospitals of Paris,1
6676,France,Hydro-Québec,2
6677,France,"Háskóli Íslands, HI",2
6678,France,IHU,2
6679,France,IN-SERM,2
6680,France,INPROBIAUS,1
6681,France,IRRP,4
6682,France,ISCII-FEDER RETICS,2
6683,France,ISIS,1
6684,France,ISIS Diab?te,1
6685,France,ISIS Diabète,1
6686,France,ISITE-BFC,1
6687,France,IdexUniversité de Paris,2
6688,France,Imperial College London,1
6689,France,"Indiana Clinical and Translational Sciences Institute, CTSI",2
6690,France,"Innovative Medicines Initiative, IMI",1
6691,France,Institut Carnot Qualiment,1
6692,France,Institut Hospitalo Universitaire FOReSIGHT,2
6693,France,"Institut National Du Cancer, INCa",1
6694,France,"Institut National de la Recherche Agronomique, INRA",2
6695,France,"Institut National de la SantÃ© et de la Recherche MÃ©dicale, Inserm",4
6696,France,"Institut National de la Santé et de la Recherche Médicale, Inserm",36
6697,France,"Institut de Cardiologie de Montréal, MHI",1
6698,France,Institut de la Longévité,2
6699,France,"International Diabetes Federation, IDF",1
6700,France,"International Glaucoma Association, IGA",1
6701,France,"Invention for Innovation, i4i",1
6702,France,Ipsen,4
6703,France,Ipsen Fund,2
6704,France,Isaac Newton Trust,2
6705,France,Isarna Therapeutics,4
6706,France,Italian Ministry of Health,2
6707,France,JDRF Center for Excellence,1
6708,France,"Jackson State University, JSU",2
6709,France,"Jaeb Center for Health Research, JCHR",3
6710,France,Jakobstadsnejdens Heart Foundation,1
6711,France,Janssen Pharmaceuticals,3
6712,France,"Japan Society for the Promotion of Science, KAKEN",2
6713,France,Jennifer Salvitti Davis,2
6714,France,"Johns Hopkins University, JHU",2
6715,France,"Johnson and Johnson, J&J",1
6716,France,"Joslin Diabetes Center, JDC",1
6717,France,Juvenile Diabetes Formation International,2
6718,France,Juvenile Diabetes Research Foundation Australia,2
6719,France,"Juvenile Diabetes Research Foundation International, JDRF",5
6720,France,"Juvenile Diabetes Research Foundation United Kingdom, JDRF",3
6721,France,"Juvenile Diabetes Research Foundation United States of America, JDRF",4
6722,France,KalVista,2
6723,France,Kamlesh Khunti,2
6724,France,Karina D Hamilton-Peel of Envision Pharma Group,2
6725,France,Karl Kirchgessner Foundation,1
6726,France,Keratoconus Australia,1
6727,France,Kidney Research UK,1
6728,France,King’s College Hospital Charity,2
6729,France,"Knights Templar Eye Foundation, KTEF",2
6730,France,Kodiak Sciences Inc.,2
6731,France,Kowa Pharmaceuticals,1
6732,France,LVL,2
6733,France,LabEx ASLAN,2
6734,France,LabEx LIFESENSES,6
6735,France,Labex,4
6736,France,"Landelijke Stichting voor Blinden en Slechtzienden, LSBS",3
6737,France,Lecturer - AbbVie-Allergan,2
6738,France,Lecturer – Allergan,1
6739,France,Leicester General Hospital,2
6740,France,Ligue Contre le Cancer,3
6741,France,Ligue Régionale contre le cancer,2
6742,France,Lille I University,1
6743,France,Linde Homecare France,1
6744,France,"Lions Clubs International Foundation, LCIF",1
6745,France,"Lions Eye Institute, LEI",1
6746,France,Lions Gift of Sight,2
6747,France,LipSTIC Labex,1
6748,France,Liv och Hälsa Foundation,2
6749,France,Lowy Medical Research Institute,2
6750,France,"Lowy Medical Research Institute, LMRI",2
6751,France,"Ludwig-Maximilians-Universität München, LMU",2
6752,France,ME Association,2
6753,France,Ma?gorzata Biernikiewicz of Creativ-Ceutical,1
6754,France,Macular Disease Foundation,3
6755,France,"Magyar Tudományos Akadémia, MTA",1
6756,France,"Manchester Biomedical Research Centre, BRC",2
6757,France,March of Dimes Foundation,2
6758,France,Marrus Family Foundation,2
6759,France,"Maryland Stem Cell Research Fund, MSCRF",2
6760,France,Massachusetts Eye,1
6761,France,Massachusetts Eye and Ear Infirmary,1
6762,France,"Massachusetts Lions Eye Research Fund, MLERF",2
6763,France,Maëva Saignes,2
6764,France,Małgorzata Biernikiewicz of Creativ-Ceutical,1
6765,France,MedIAN Network,1
6766,France,Medical Foundation of Vaasa,1
6767,France,"Medical Research Council, MRC",10
6768,France,Medical Research Council/Wellcome Trust,2
6769,France,Medicinska Understödsföreningen Liv och Hälsa,2
6770,France,Medtronic,9
6771,France,Medtronic International Trading Sàrl,1
6772,France,Menarini Diagnosis,1
6773,France,Merck,4
6774,France,Merck Santé,1
6775,France,"Merck Sharp and Dohme, MSD",4
6776,France,Merck-Serono,1
6777,France,"Meso Scale Diagnostics, MSD",9
6778,France,Michigan,1
6779,France,Mid Yorkshire Hospitals NHS Trust,2
6780,France,MidWest Eye Bank,1
6781,France,"Ministerio de Ciencia e Innovación, MICINN",1
6782,France,"Ministerio de Economía y Competitividad, MINECO",3
6783,France,Ministero della Salute,4
6784,France,"Ministero dell’Istruzione, dell’Università e della Ricerca, MIUR",2
6785,France,Ministry of Research-INSERM Programme,2
6786,France,"Ministère de l'Enseignement Supérieur et de la Recherche, MESR",1
6787,France,Ministère des Affaires Sociales et de la Santé,5
6788,France,Miragen Therapeutics,2
6789,France,Moorfields Eye Charity,3
6790,France,Moorfields Eye Hospital NHS Foundation Trust,2
6791,France,"Mutuelle Générale de l'Education Nationale, MGEN",1
6792,France,NAPP,2
6793,France,NHLBL,2
6794,France,NIDDK Diabetes Research Center,2
6795,France,NIDEK,2
6796,France,"NIH National Eye Institute, Neurotech, Opthea",2
6797,France,"NIH Office of the Director, OD",2
6798,France,"NIHR Leicester Biomedical Research Centre, Leicester BRC",2
6799,France,"NIHR Oxford Biomedical Research Centre, OxBRC",1
6800,France,NSFA,1
6801,France,Nantes University Hospital,2
6802,France,Natasha Beeton-Kempen,4
6803,France,National Agency for the Safety of Medicines and Health Products,1
6804,France,"National Cancer Institute, NCI",5
6805,France,"National Center for Advancing Translational Sciences, NCATS",3
6806,France,National Center for Research Resources for the General Clinical Research Center,2
6807,France,National Eye Institute of the NIH,2
6808,France,"National Eye Institute, NEI",20
6809,France,"National Health and Medical Research Council, NHMRC",11
6810,France,National Heart Foundation of Australia,1
6811,France,"National Heart, Lung, and Blood Institute, NHLBI",9
6812,France,"National Human Genome Research Institute, NHGRI",2
6813,France,"National Institute for Health Research, NIHR",4
6814,France,"National Institute for Health and Care Research, NIHR",6
6815,France,"National Institute of Diabetes and Digestive and Kidney Diseases, NIDDK",5
6816,France,"National Institute of General Medical Sciences, NIGMS",2
6817,France,"National Institute of Neurological Disorders and Stroke, NINDS",5
6818,France,"National Institute on Aging, NIA",3
6819,France,"National Institute on Minority Health and Health Disparities, NIMHD",2
6820,France,National Institutes of Health National Eye Institute,1
6821,France,National Institutes of Health and Medical Research,2
6822,France,"National Institutes of Health, NIH",24
6823,France,National InstitutesofHealth,1
6824,France,"National Key Research and Development Program of China, NKRDPC",1
6825,France,National Library of Medicine and National Eye Institute,1
6826,France,"National Medical Research Council, NMRC",2
6827,France,"National Natural Science Foundation of China, NSFC",1
6828,France,National Programme for Hospital Research,1
6829,France,"National Research Foundation of Korea, NRF",2
6830,France,"National Science Council, NSC",2
6831,France,National University of Singapore,1
6832,France,National and International Networking program,2
6833,France,"Natural Sciences and Engineering Research Council of Canada, NSERC",2
6834,France,"Nederlandse Organisatie voor Wetenschappelijk Onderzoek, NWO",1
6835,France,Nestlé Home Care,1
6836,France,Nestlé HomeCare,1
6837,France,Netherlands Organization for Scientific Research,1
6838,France,New York Eye and Ear Infirmary Foundation,2
6839,France,Norges Forskningsråd,2
6840,France,"North Bristol NHS Trust, NBT",1
6841,France,Novagali Pharma,2
6842,France,Novartis,37
6843,France,Novartis Healthcare Pvt. Ltd,2
6844,France,Novartis Hellas,1
6845,France,Novartis Ireland Ltd.,2
6846,France,Novartis Pharma,4
6847,France,Novartis Pharma SAS,4
6848,France,Novartis Pharmaceutical Corporation Bora Eldem,1
6849,France,"Novartis Pharmaceuticals Corporation, NPC",7
6850,France,Novo Nordisk,30
6851,France,"Novo Nordisk Fonden, NNF",5
6852,France,Nvidia,1
6853,France,OFTARED,2
6854,France,"ONL Therapeutics, ONL",2
6855,France,Oculis SA,2
6856,France,"Ophthalmic Research Institute of Australia, ORIA",3
6857,France,Ophthotech,2
6858,France,Organisme pour la Prévention de la Cécité,1
6859,France,Organization for the Prevention of Blindness,1
6860,France,"Otsuka America, OAI",1
6861,France,"Oxford Centre for Diabetes, Endocrinology and Metabolism",2
6862,France,"Oxford University Hospitals NHS Foundation Trust, OUH",2
6863,France,PACA,1
6864,France,PHRC,3
6865,France,Peptides and medical uses thereof,2
6866,France,"Perelman School of Medicine, University of Pennsylvania",2
6867,France,Pfizer,5
6868,France,Pharmerit International,1
6869,France,Pierre Fabre Santé,6
6870,France,Pierre Fabre and Sanofi,1
6871,France,Pierre Llatty,2
6872,France,Pinderfields Hospital,2
6873,France,PolyPhotonix,2
6874,France,"Programa Operacional Temático Factores de Competitividade, POFC",1
6875,France,Programme Hospitalier de Recherche Clinique,2
6876,France,Public Health Wales and Novo Nordisk,2
6877,France,Queen Elizabeth Hospital,2
6878,France,"Queen's University Belfast, QUB",2
6879,France,Queen’s University Belfast,1
6880,France,RETINA-France,2
6881,France,"RPB, New York, New York",1
6882,France,Recens Medical,2
6883,France,Regenerative Patch Technologies,4
6884,France,Regeneron Pharmaceuticals,1
6885,France,Region Ile-De-France,2
6886,France,Regional Council for Nord-Pas de Calais,2
6887,France,Regional Council of Ile-de-France,4
6888,France,Regional University Hospital of Nancy,1
6889,France,Regione Toscana,1
6890,France,ResMed,1
6891,France,"Research to Prevent Blindness, RPB",14
6892,France,Retina France,2
6893,France,Retina Nederland Onderzoek Fonds,1
6894,France,Roche,17
6895,France,"Roche Diabetes Care, RDC",1
6896,France,Roche Diagnostics,1
6897,France,"Roche, Ltd.",2
6898,France,Ronan Roussel,2
6899,France,Rotterdamse Stichting Blindenbelangen,3
6900,France,"Royal Academy of Engineering, RAENG",1
6901,France,Royal Australian NZ College of Ophthalmologists Eye Foundation,2
6902,France,"Royal Australian and New Zealand College of Ophthalmologists, RANZCO",2
6903,France,Royal Liverpool University Hospital,1
6904,France,Royal Society,2
6905,France,Rustam Rea,2
6906,France,SFR Cancer Lille,2
6907,France,Sam Chun Dang Pharm,2
6908,France,"Samfundet Folkhälsan, Folkhälsan",2
6909,France,Sandwell and West Birmingham Hospitals NHS Trust,2
6910,France,Sanofi,29
6911,France,Sanofi France,1
6912,France,Sanofi Genzyme,1
6913,France,Sanofi and Johnson & Johnson,2
6914,France,Sanofi-Aventis Deutschland,1
6915,France,Santen,2
6916,France,Santhera Pharmaceuticals,2
6917,France,Schepens Eye Research Animal Facility,1
6918,France,School of Medicine,1
6919,France,"School of Medicine, Johns Hopkins University",1
6920,France,"Schweizerischer Nationalfonds zur Förderung der Wissenschaftlichen Forschung, SNF",4
6921,France,"Science and Technology Commission of Shanghai Municipality, STCSM",1
6922,France,"Secretaria Nacional de Ciencia y Tecnología, SENACYT",1
6923,France,"Secretaría Nacional de Ciencia, Tecnología e Innovación, SENACYT",1
6924,France,Servier,16
6925,France,Servier Medical Art,1
6926,France,Servier and Sanofi,2
6927,France,"Seventh Framework Programme, FP7",8
6928,France,"Sheffield Teaching Hospitals NHS Foundation Trust, STH",2
6929,France,Shire Takeda,1
6930,France,Shri Guru Gobind Singhji Institute of Engineering and Technology,1
6931,France,Sigrid Juséliuksen Säätiö,2
6932,France,Single-Cell Academy,2
6933,France,Sistema Nacional de Investigaci?n,1
6934,France,"Sistema Nacional de Investigadores, SNI",1
6935,France,"SociÃ©tÃ© FranÃ§aise de Cardiologie, SFC",2
6936,France,"Société Francophone du Diabète, SFD",17
6937,France,"Société Française d’Endocrinologie, SFE",7
6938,France,"Société Française d’Hypertension Artérielle, SFHTA",1
6939,France,Sonia Brishoual,2
6940,France,Sorbonne Université,2
6941,France,Southern California Diabetes Endocrinology Research Center,2
6942,France,Southern California Diabetes Research Center,2
6943,France,Spanish Government,1
6944,France,Stealth BioTherapeutics,2
6945,France,Stichting Blinden-Penning,1
