,Funding,counts
3204,Hartwell Foundation,2
3203,Hartstichting,2
6075,Open Research Funds of the State Key Laboratory of Ophthalmology,2
3230,Health Canada,2
3236,"Health Data Research UK, HDR UK",2
3278,Health and Family Planning Commission of Gansu,2
3237,Health Data Science Center,2
3277,Health and Care Research Wales,2
3274,Health Technology Assessment,2
3574,"Indian Institute of Technology Kanpur, IITK",2
3576,Indiana Center for Biomedical Innovation,2
3264,"Health Research, HRI",2
3258,Health Research Board,2
3255,Health Promotion Research Trust,2
3585,Indonesian Endowment Fund for Education,2
3588,Industrial Materials Fundamental Technology Development Program,2
3253,Health Medical Collaborative Innovation Program of Guangzhou,2
3590,InflammX Therapeutics,2
3252,Health Medical Big Data Application and Innovation Project in Sichuan,2
3595,Initial Scientific Research Fund,2
3604,"Innovation and Technology Fund, ITF",2
6375,Public Health Service Research,2
6104,Optovue Inc.,2
6103,Optovue Inc,2
3615,"Innovative Research Group Project of the National Natural Science Foundation of China, AIC",2
3238,Health Department of Sichuan Province,2
3826,Jakobstadsnejdens Heart Foundation,2
2981,German Ophthalmic Society,2
2979,German Ministry of Health,2
2700,"Foundation for Diabetes Research, Tampere",2
5703,Natural Science Foundation of Sichuan Province,2
6775,Sanofi Australia,2
4137,Key Project of Guizhou Provincial Science and Technology Department,2
4144,Key R&D Program Projects in Zhejiang Province,2
6776,Sanofi Aventis,2
4145,Key R&D Program of Jiangsu Science and Technology Department,2
4151,Key Research and Development Program of Jiangxi Province,2
6788,Sanofi and Johnson & Johnson,2
6789,Sanofi-Aventis Deutschland,2
2698,"Foundation for Cardiovascular Research, FCR",2
2975,German Institute of Human Nutrition Potsdam-Rehbrücke,2
4164,Key research and development plan of Luliang City,2
5678,Natural Science Foundation of Gansu Province,2
5677,Natural Science Foundation of Fujian Province,2
2693,Foundation Fighting Blindness New York Regional Research Center,2
2689,Foundation Fighting Blindness,2
5673,Natural Science Foundation for Distinguished Young Scholars of Shandong Province,2
5672,Natural Science Foundation for Distinguished Young Scholars of Hunan Province,2
6802,"Santen Pharmaceutical Co., Ltd.",2
6807,Sapienza Università di Roma,2
5705,"Natural Science Foundation of Tianjin, China",2
5706,Natural Science Foundation of Xinjiang,2
6769,Sankara Nethralaya,2
5707,Natural Science Foundation of Yunnan Province,2
2771,Fukuoka Anti-Cancer Association,2
6739,"Sahlgrenska Universitetssjukhuset, SU",2
6741,Saint Louis,2
6744,Saitama Medical University,2
5747,Neurological Foundation of New Zealand,2
6749,Sam Chun Dang Pharm,2
5741,Netherlands Organization for Health Related Research,2
6751,Samara University,2
6752,"Samfundet Folkhälsan, Folkhälsan",2
4100,Kellogg Eye Center,2
4102,Kellogg Eye Center Core Center for Vision Research,2
5734,"Nemzeti Kutatási és Technológiai Hivatal, NKTH",2
5733,"Nemzeti Kutatási Fejlesztési és Innovációs Hivatal, NKFIH",2
5730,Nederlandse Vereniging ter Verbetering van het Lot der Blinden,2
6763,"San Diego State University, SDSU",2
5716,Natural Science Research of Jiangsu Higher Education Institutions of China,2
5708,Natural Science Foundation of Zhejiang Province,2
6764,Sandoz,2
2731,Foundation of Wenzhou City Science & Technology Bureau,2
5665,"Natur og Univers, Det Frie Forskningsråd, FNU, DFF",2
5657,National and Local Joint Engineering Research Center for Mongolian Medicine Research and Development,2
4200,Kitasato University,2
2619,"Fondation Francophone pour la Recherche sur le Diabète, FFRD",2
5604,"National Natural Science Foundation, Beijing, China",2
5602,"National Natural Science Foundation of China-Yunnan Joint Fund, NSFC-Yunnan Joint Fund",2
6852,"School of Medicine and Public Health, University of Wisconsin-Madison, UWSMPH",2
6854,"School of Medicine, Emory University",2
4270,Kunming Medical University Second Affiliated Hospital Talent Training Program,2
4271,"Kunming Medical University, )",2
4278,Kyoto University,2
4284,Kyowa-Kirin,2
5588,National Natural Science Found,2
6875,Schweizerischer Nationalfonds zur F&#x00F6,2
5586,"National Multiple Sclerosis Society, NMSS",2
4295,LEHS,2
5584,National Multiple Sclerosis Society,2
5583,National Medical Simulation Education Research Project,2
5573,National Major Scientific Equipment program,2
4310,Labex,2
5570,"National Lottery Charities Board, The Iris Fund",2
5566,"National Laboratory of Pattern Recognition, NLPR",2
4321,Lacy Foundation,2
2617,Fondation Brain Canada,2
4260,Kresge Eye Institute,2
4201,"Klaus Tschira Stiftung, KTS",2
5615,National Pediatric Diabetes Audit,2
5653,National University of Singapore,2
2658,Fondos Europeos de Desarrollo Regional de la Unión Europea,2
4212,Kodiak Sciences,2
5631,"National Research, Development and Innovation Office",2
2647,"Fondazione Telethon, FT",2
5628,National Research Foundation of Korea,2
2646,Fondazione Telethon,2
6832,Schneeweiss Stem Cell Fund,2
2640,Fondazione IRCCS Ca' Granda Ospedale Maggiore Policlinico,2
4238,"Korean Diabetes Association, KDA",2
4241,Korean government,2
6836,School CAPHRI,2
2636,"Fondation Recherche Cancer et Sang, FRCS",2
4245,Kowa Co. Ltd.,2
4246,"Kowa Co., Ltd",2
2634,"Fondation de l’Hôpital Maisonneuve-Rosemont, FHMR",2
2632,Fondation de l'Avenir pour la Recherche Médicale Appliquée,2
2625,Fondation Ophtalmologique A. de Rothschild,2
4251,Kowa Pharmaceutical,2
2773,Fulbright Foreign Scholarship Board,2
2779,Fund for Shanxi “1331 Project,2
2785,Fundacion Conde Valenciana,2
5908,Novartis Pharmaceuticals UK Limited,2
3881,Jeanne Mance Foundation,2
5901,Novartis Pharma SAS,2
5900,Novartis Pharma Research Grants,2
3890,"Jiangnan University, JU",2
3893,Jiangsu Key Medical Disciplines,2
3900,Jiangsu Province Key R&D Program,2
3906,Jiangsu Provincial Medical Innovation Team,2
3908,Jiangsu Provincial Natural Science Foundation Project,2
3910,Jiangsu Provincial Post Graduate Innovation Plan,2
2910,"Genentech, Inc",2
3913,Jiangsu Science and Technology Department,2
5885,Novartis Healthcare Pvt. Ltd.,2
5880,Novartis Australia,2
6644,Rossi Memorial Fund,2
5879,Novartis Allergan,2
3924,Jiangxi Province Education Department Scientific Research Foundation,2
5875,Novagali Pharma,2
3926,Jiangxi Province Voyage Project,2
2888,Gangstedfonden,2
3878,"Javna Agencija za Raziskovalno Dejavnost RS, ARRS",2
6608,"Riley Children's Foundation, RCF",2
3927,Jiangxi Provincial Department of Science and Technology,2
6606,Rijksuniversiteit Groningen,2
5938,NovoNordisk,2
3832,"James and Jean Culver Vision Discovery Institute, Georgia Regents University",2
2970,German Diabetes Centre,2
5936,Novo-Nordisk,2
3839,"Janssen Research and Development, JRD",2
3840,"Janssen Scientific Affairs, JSA",2
3846,Japan Diabetes Foundation,2
3849,Japan Foundation for Aging and Health,2
6585,Retina Research Foundation,2
5919,Novo Nordisk Farmaka Denmark Ltd.,2
6588,Retina Research and Development Foundation,2
5918,Novo Nordisk Farmaka Denmark,2
6590,Retina UK,2
6593,Retinologische Gesellschaft,2
6594,"Rheinische Friedrich-Wilhelms-Universität Bonn, Uni Bonn",2
6595,"Rheumatology Research Foundation, RRF",2
6599,Richard Fallis,2
3862,Japan Research Foundation for Clinical Pharmacology,2
6605,Riisfort Fonden,2
6649,Royal Australian NZ College of Ophthalmologists Eye Foundation,2
6659,Royal Flying Doctor Service,2
5749,Neuroscience Institute,2
2826,Fundação Lemann,2
4007,Juvenile Diabetes Research Foundation Australia,2
5810,Nippon Boehringer Ingelheim,2
4019,Juvenile Diabetes Research Foundation-Wallenberg Diabetes Research Program,2
6693,Russell Berrie Foundation,2
6694,"Russian Foundation for Basic Research, РФФИ",2
5806,Ningbo University,2
5802,Ningbo Health Branding Subject Fund,2
4033,Kaibara Morikazu Medical Science Promotion Foundation,2
5776,New Zealand Association of Optometrists Education and Research Fund,2
5775,"New York State Stem Cell Science, NYSTEM",2
5767,New York Eye and Ear Infirmary Foundation,2
2807,"Fundacja na rzecz Nauki Polskiej, FNP",2
6706,SEARCH,2
4072,Karl Walter and Jarl Walter Perklén’s Foundation,2
5758,"New Jersey Health Foundation, NJHF",2
5756,New England Eye Center/Department of Ophthalmology,2
5754,"New Energy and Industrial Technology Development Organization, NEDO",2
2791,"Fundació Institut de Recerca Hospital Universitari Vall d’Hebron, VHIR",2
5750,"Neuroscience Institute, University of Tennessee",2
5811,"Nippon Boehringer Ingelheim Co., Ltd",2
6688,Ruijin Hospital,2
2875,GIFT,2
6687,"Ruhr-Universität Bochum, RUB",2
2874,GI Dynamics,2
6663,"Royal Hobart Hospital Research Foundation, RHHRF",2
2869,GDPH Supporting Fund for Talent Program,2
5872,Notal Vision,2
5864,Norwegian Council for Science and the Humanities,2
2861,Fédération des Aveugles de France,2
3943,Joel Hoffman Fund,2
2853,"Fundo de Inovação, Tecnologia e Economia Circular",2
3962,Johnson & Johnson K.K.,2
5848,North East London Diabetes Eye Screening Programme,2
6677,Royal University Hospital Foundation,2
6678,Royal Victoria Hospital,2
6680,Royal Victorian Eye,2
5839,"Norges Idrettshøgskole, NIH",2
5837,Norges Blindeforbund,2
2836,Fundação para a Ciência e Tecnologia,2
5836,Nordic Insulin Foundation,2
3996,Juho Vainion Säätiö,2
2829,"Fundação de Amparo à Pesquisa do Estado de Minas Gerais, FAPEMIG",2
6921,Science and Technology Major Project of Guangxi,2
5037,Moorfields Eye Hospital NHS Foundation Trust and UCL Institute of Ophthalmology,2
461,Arevalo-Coutinho Foundation for Research in Ophthalmology,2
1486,Ci?ncia e Tecnologia,2
7993,UGC-UPE,2
781,Beijing Municipal Bureau of Health,2
782,Beijing Municipal Commission of Education,2
8532,Watermeadow Medical,2
8688,Youth Employment Initiative,2
175,"Agencia Córdoba Ciencia, ACC",2
617,Aviceda Therapeutics,2
8526,Washington University DRC,2
7870,Topcon Medical Systems Inc,2
7545,Suzhou Commission of Health and Family Planning,2
169,"Agence Nationale de Sécurité du Médicament et des Produits de Santé, ANSM",2
1699,CureVac AG,2
8224,"University of Iowa, UI",2
1449,Chinese University of Hong Kong Foundation,2
1701,Curtin University of Technology,2
8520,Walter and Gertrud Siegenthaler Foundation Zurich,2
7867,"Topcon Corporation, TOPCF",2
8221,"University of Illinois, UofI",2
8002,UK Medical Research Council,2
793,Beijing Natural Science Foundation Haidian Primitive Innovation Joint Fund,2
8517,Wallenberg Foundations,2
8516,Wallenberg Clinical Scholars,2
164,Aerpio Therapeutics,2
1087,CSL Behring,2
8515,"Wallace H. Coulter Foundation, WHCF",2
7537,Suomen Kulttuurirahasto,2
7555,Svenska Kulturfonden,2
1681,Cross-ministerial Strategic Innovation Promotion Program,2
1100,"California Department of Fish and Game, DFG",2
1679,"Creighton University, CU",2
7576,Swedish Innovation Agency,2
1244,Center for Computation and Visualization at Brown University,2
1655,Corcept Therapeutics,2
1503,Claffy Foundation,2
8352,"Universität Ulm, UULM",2
1112,Canada Foundation for Innovation,2
8233,University of Manchester,2
773,Beijing Institute of Technology Research Fund Program for Young Scholars,2
7572,Swedish Heart and Lung Foundation,2
191,Agneta Prytz-Folkes och Gösta Folkes Stiftelse,2
1252,"Center for Information Technology, CIT",2
1665,"Council for Science, Technology and Innovation, CSTI",2
1669,"Council of Scientific and Industrial Research, CSIR",2
7563,Swedish Child Diabetes Foundation,2
7986,"UCLH Biomedical Research Centre, NIHR BRC",2
7562,Swedish Cancer Foundation,2
1673,Crafoord Foundation,2
776,Beijing Municipal Administration of Hospitals,2
8683,Young Scientist Program Foundation of China,2
187,"Agentúra na Podporu Výskumu a Vývoja, APVV",2
7990,UGC-FRP,2
186,"Agentschap voor Innovatie door Wetenschap en Technologie, IWT",2
1104,"California Institute for Regenerative Medicine, CIRM",2
7991,UGC-SAP,2
1102,"California Educational Research Association, CERA",2
1084,CRO,2
410,Anahita Gouri and Rohan Mitra of Sanofi,2
158,Aegerion Pharmaceuticals,2
607,Australian University Librarians,2
1462,Chongqing Key Laboratory of Ophthalmology,2
7858,Tongji University School of Medicine,2
8722,Yunnan Provincial Department of Education Science Research Fund Project,2
7722,Technology and Science Foundation of Jiangxi Province,2
603,Australian Red Cross Blood Service,2
8723,"Yunnan Provincial Department of Science and Technology-Kunming Medical Joint Project, )",2
1731,DRWA-LHerat-2020,2
826,Bendheim-Lowenstein Family Foundation,2
7855,Tongji Medical College,2
8368,"Université de Montréal, UDEM",2
1735,DST-PURSE,2
1062,"CMIC Co., Ltd.",2
8025,URV,2
7852,Tomey Corporation,2
829,Bergens Forskningsstiftelse,2
7850,Tom Wood Lexus Foundation,2
435,Animas Corporation,2
120,"Academia Sinica, AS",2
7846,"Tokyo Women's Medical University, TWMU",2
114,Aboriginal Medical Services Alliance,2
112,Able Trust,2
8184,University of Chicago,2
7507,Stoltz’ Foundation,2
7506,Stoltz' Foundation,2
1754,Daiko Foundation,2
134,Actic Vision,2
1463,"Chongqing Medical University, CQMU",2
797,Beijing Science and Technology Commission,2
8716,Yunnan Medical and Health Units,2
8514,Wallace Academic Editing,2
8217,"University of Illinois System, UofI",2
7533,Sunovion,2
7532,"Sunnybrook Research Institute, SRI",2
1268,"Center of Excellence in Regulatory Science and Innovation, CERSI",2
412,Anatomy Laboratory,2
1474,Chronic Diseases Prevention and Treatment Project of Shanghai Shen Kang Hospital Development Centre,2
152,Advanced and Appropriate Technology Promotion Project of Shanghai Health Commission,2
8511,"Wake Forest University, WFU",2
8510,Wake Forest University School of Medicine,2
149,"Advanced Manufacturing Office, AMO",2
8506,"Wakamoto Pharmaceutical Co., Ltd.",2
146,Adler Foundation,2
805,Beijing Talents Fund,2
8362,"Universitätsspital Basel, UHB",2
423,Anglia Ruskin University,2
1723,DOD Prostate Cancer Idea Development Award,2
8505,Wakamoto Pharma,2
610,Austrian Federal Ministry for Digital and Economic Affairs,2
1726,DPPOS,2
427,Anhui Provincial Key Research and Development Plan,2
1070,CNIB,2
8206,"University of Florida, UF",2
1728,DRCI,2
8364,"Université Nice Sophia Antipolis, UNS",2
1241,"Center for Clinical and Translational Science, Mayo Clinic, CCaTS",2
7978,"UCL Institute of Ophthalmology, UK",2
363,"American Federation for Aging Research, AFAR",2
8587,William Randolph Hearst Fund,2
696,Baxter Charitable Foundation,2
272,Alexandra McAleenan,2
698,Baxter International,2
699,Baxter Limited,2
1591,Comprehensive Research on Life-Style Related Diseases including Cardiovascular Diseases and Diabetes Mellitus,2
7938,"U.S. Air Force Academy, USAFA",2
7623,Sysmex Corporation,2
7658,"Taipei Medical University, TMU",2
1593,Comunidad de Madrid,2
7940,"U.S. Army Medical Research Acquisition Activity, USAMRAA",2
8625,Wuxi Health Committee,2
1594,Concept Therapeutics,2
323,Alzheimer Society,2
1227,CellSight Development Fund,2
8627,Wuxi Municipal Bureau on Science and Technology,2
705,"Bayer AG, Chengdu Kanghong Pharmaceuticals Group Co",2
7942,U.S. Department of Agriculture-Agriculture Research Service,2
8332,"University of Wisconsin-Madison, UW",2
1599,"Congressionally Directed Medical Research Programs, CDMRP",2
8631,Wuxi Taihu Lake Talent Plan,2
7618,Syneos LLC,2
7661,"Taisho Pharma Co., Ltd.",2
7662,Taisho Pharmaceutical Co.,2
1542,"Collaboration for Leadership in Applied Health Research and Care - Greater Manchester, CLAHRC GM",2
7614,Sylvia and Charles Viertel Charitable Foundation,2
7901,"Tri-Service General Hospital, TSGH",2
7902,TrigoCare International,2
8636,Xbrane Biopharma AB,2
7903,"Trinity College Dublin, TCD",2
8598,Wise Family Foundation,2
8317,"University of Toronto, UofT",2
661,Banyu Life Science Foundation International,2
8318,University of Tsukuba,2
7915,"Tufts University School of Medicine, TUSM",2
7920,Tulane University,2
8310,"University of Texas Southwestern Medical Center, UTSW",2
8605,Wolfson Foundation,2
292,Allan Smidt Charitable Fund,2
7647,TWG,2
1572,Columbia University,2
1209,Casio Science Promotion Foundation,2
7913,Tufts Medical Center,2
8322,"University of Utah, UU",2
280,Alfreda J. Schueler Trust,2
8590,Williams Oncology Royal Hobart Hospital Research Foundation,2
7907,Trygg-Hansa Foundation,2
8615,"World Meteorological Organization, BMO",2
1581,"Committee of Science and Technology, Shanghai, China",2
1556,"College of Medicine, University of California, Irvine",2
277,Alfred Kordelinin Säätiö,2
8324,"University of Virginia, UV",2
1584,"Commonwealth Scholarship Commission, CSC",2
1555,"College of Medicine, Korea University",2
7904,Trond Mohn stiftelse,2
1169,"Cardiovascular Center, Medical College of Wisconsin, CVC, MCW",2
8574,Whitaker Foundation,2
361,American Eye Disease Study Group,2
8263,"University of North Carolina Wilmington, UNCW",2
8260,"University of New Mexico, UNM",2
8666,Yale-Mayo Clinic Center for Excellence in Regulatory Science and Innovation,2
8347,Universität Basel,2
1635,"Consellería de Cultura, Educación e Ordenación Universitaria, Xunta de Galicia",2
7677,"Takeda Pharma Co., Ltd.",2
1522,Clinical Research Associates,2
1521,Clinical Medicine Research Special-purpose Foundation of China,2
1519,Clinical Medical Research Center for Eye Diseases of Zhejiang Province,2
1638,"Consellería de Educación, Universidade e Formación Profesional",2
1514,Cleveland Eye Bank Foundation,2
8562,"Wenzhou Municipal Science and Technology Bureau, WMSTB",2
749,"Bedford Institute of Oceanography, BIO",2
350,"American Chemical Society, ACS",2
753,"Beihang University, BUAA",2
7684,Takumi Information Technology Inc.,2
8558,Wenzhou Basic Public Welfare Research Project,2
1642,Construction Plan of Gansu Province Clinical Research Center for Endocrine Disease,2
755,Beijing Advanced Innovation Center for Biomedical Engineering,2
1509,Clearside Biomedical,2
8249,University of Michigan Center for Entrepreneurship Dean’s Engineering Translational Prototype Research Fund,2
205,Air Liquide Health Care international,2
1504,Claire Giannini Foundation,2
1127,"Canadian Institute for Advanced Research, CIFAR",2
1126,Canadian Foundation for Innovation,2
7578,Swedish Life Insurance Foundation,2
1630,Conselho Nacional de Desenvolvimento Científico e Tec-nológico,2
7594,"Swine Innovation Porc, SIP",2
719,Bayer Healthcare SAS,2
8264,"University of North Carolina at Chapel Hill, UNC-CH",2
331,"Alzheimer’s Research UK, ARUK",2
1611,"Consejería de Educación, Junta de Castilla y León",2
244,Alcon Pharma,2
7896,Translational Clinical Research in Major Eye Diseases,2
7608,Sydney Medical Foundation,2
1162,Capital’s Funds for Health Improvement and Research,2
8276,University of Oxford,2
1534,CoMentis,2
7951,U.S. Department of Veterans Affairs,2
1158,Capital Health Research and Development of Special Fund,2
8272,"University of Oklahoma, OU",2
1530,"Clinical and Translational Science Institute, University of California, San Francisco, CTSI",2
8271,University of Oklahoma Stephenson Cancer Center,2
8428,Vereniging Blindenbelangen Rotterdam,2
224,"Alberta Innovates - Health Solutions, AIHS",2
337,American Academy of Neurology and performs medical legal consultations including consultations for the Vaccine Injury Compensation Program,2
8656,YOKOYAMA Foundation for Clinical Pharmacology,2
338,"American Academy of Neurology, AAN",2
7954,"U.S. Environmental Protection Agency, EPA",2
219,"Albert Einstein College of Medicine, Yeshiva University, AECOM",2
7597,Swiss National Foundation,2
8344,Università degli Studi di Verona,2
8267,"University of Notre Dame Australia, UNDA",2
8662,Yale University,2
1151,"Cancer Prevention and Research Institute of Texas, CPRIT",2
8182,"University of California, UC",2
7862,Tony Gray Foundation,2
7732,"Telethon Kids Institute, Women and Infants Research Foundation",2
8063,United Kingdom Research and Innovation,2
7467,Stichting MaculaFonds,2
1812,"Defense Advanced Research Projects Agency, DARPA",2
7463,Stichting Leids Oogheelkundig Ondersteunings-fonds,2
8765,Zhejiang University Education Foundation,2
1883,"Department of Health Research, India, DHR",2
8767,"Zhejiang University, ZJU",2
503,Asociación para Evitar la Ceguera en México,2
7771,Thea Laboratoires,2
500,Asken Inc.,2
8158,"University of Alabama, UA",2
1878,"Department of Foreign Affairs and Trade, Australian Government, DFAT",2
7455,"Stichting A.F. Deutman Oogheelkunde Researchfonds, SAFDOR",2
8771,"Zhongshan Ophthalmic Center, Sun Yat-sen University",2
7417,State Administration of Traditional Chinese Medicine Ophthalmology Key Discipline Construction Project,2
1412,China International Medical Foundation-Renal Anemia Fund,2
8065,"United States - India Educational Foundation, USIEF",2
7753,"Thailand Research Fund, TRF",2
1829,Department of Biochemistry,2
8811,"rderung der Wissenschaftlichen Forschung, SNF",2
576,Augustinus Fonden,2
8388,VA Merit Award,2
538,Astellas Pharma US,2
8379,Usher Institute,2
586,Australian Centre for Behavioural Research in Diabetes,2
1795,David Owens,2
7479,"Stiftelsen Kristian Gerhard Jebsen, KGJF",2
7476,"Stichting voor Fundamenteel Onderzoek der Materie, FOM",2
967,British and Eire Association of Vitreoretinal Surgeons,2
8757,Zhejiang Provincial High-level Talents Program,2
8054,UiTM Sg Buloh,2
8157,"University of Alabama at Birmingham, UAB",2
8815,vTv Therapeutics and Zafgen,2
74,"ARVO Foundation for Eye Research, AFER",2
534,Astellas Institute for Regenerative Medicine,2
1422,China Scholarship Council,2
8137,University Hospital,2
8814,vTv Therapeutics,2
876,"Bionic Vision Technologies, Chengdu Kanghong Biotechnologies",2
1319,"Centro Singular de Investigación de Galicia, CINBIO",2
1830,Department of Bioengineering,2
7418,"State Administration of Traditional Chinese Medicine of the People's Republic of China, SATCM",2
496,Asia Diabetes Foundation,2
1337,"Chang Gung Memorial Hospital, CGMH",2
8447,Veterans Health Administration,2
1866,"Department of Education, Northern Ireland, DE, NI",2
8458,Victorian State Government,2
7441,State of Brandenburg,2
7440,State University of Rio de Janeiro,2
8074,"United States-Israel Binational Science Foundation, BSF",2
1334,"Chan Zuckerberg Initiative, CZI",2
8081,"Universidad Autónoma de Nuevo León, UANL",2
989,Bureau of International Cooperation,2
7820,Tianjin Science and Technology Committee,2
487,Asahi Mutual Life Insurance Company,2
557,AstraZeneca Pharma Poland,2
8140,University Hospital Southampton NHS Foundation Trust,2
550,AstraZeneca Canada,2
8138,"University Hospital Foundation, UHF",2
1859,Department of Education of Guizhou Province,2
551,AstraZeneca España,2
8462,"Vincent Fairfax Family Foundation, VFFF",2
891,Blind Children’s Center,2
8398,Vaasan Keskussairaala,2
8412,Vanderbilt Eye Institute,2
1870,Department of Endocrinology,2
914,"Boston Area Diabetes Endocrinology Research Center, BADERC",2
1398,Children’s Hospital Boston Mental Retardation and Developmental Disabilities Research Center,2
1832,Department of Biomedical Engineering,2
7757,That Man May See,2
7449,Stealth Biotherapeutics,2
978,"Bulgarian National Science Fund, BNSF",2
8782,Zunyi Medical University,2
909,Boehringer-Ingelheim,2
31,AARP,2
1002,C. F. Lundströms Stiftelse,2
7444,State of Texas,2
980,Bunbury and Busselton Eye Doctors,2
1842,Department of Clinical Diagnostic Laboratories,2
1843,Department of Clinical Epidemiology,2
8783,academician’s science and technology innovation program in Zhejiang province,2
890,Blind Children's Center,2
1026,CCTN,2
925,Boston Scientific Japan,2
1311,"Centre for Muslim States and Societies, School of Social and Cultural Studies, University of Western Australia, CMSS",2
91,Aase og Ejnar Danielsens Fond,2
958,British Heart Foundation,2
8041,USDA AFRI,2
99,Abbott Japan LLC,2
98,Abbott Japan,2
857,Biobank Eye and Vision Consortium,2
1770,Danish Centre for Evaluation and Health Technology Assessment,2
1772,Danish Clinical Quality Program,2
943,Bristol,2
1440,Chinese Medicine of Hunan University of Chinese Medicine,2
8112,"Universitat de Barcelona, UB",2
863,Biogen Idec,2
1776,Danish Diabetes Association,2
8431,Vernon Tews Education Trust,2
1438,"Chinese Diabetes Society, CDS",2
7778,Thomas Beatson Foundation,2
7781,Thomas Pocklington Trust,2
8102,Universidade da Coruña,2
527,"Association pour la Recherche sur le Cancer, ARC",2
594,Australian Foundation for the Prevention of Blindness,2
8736,ZIBMT,2
8177,"University of California, Irvine Medical Scientist Training Program",2
1759,Daiwa Securities Health Foundation,2
1296,"Centre Hospitalier Universitaire de Poitiers, PUH",2
1297,"Centre National de la Recherche Scientifique, CNRS",2
519,"Association for International Cancer Research, AICR",2
8107,"Universidade do Estado do Rio de Janeiro, UERJ",2
104,Abbott and Mylan,2
1446,Chinese PLA General Hospital,2
1444,Chinese National Nature Science Foundation,2
852,Bill and Emily Kuzma Family Gift,2
8426,Venture Fund,2
944,Bristol Eye Hospital,2
8172,"University of California Institute for Mexico and the United States, UC MEXUS",2
93,AbbVie Allergan,2
1856,Department of Diabetes and Metabolism,2
7800,Tianjin Key Laboratory of Retinal Functions and Diseases,2
8122,University,2
1353,Charles Wolfson Charitable Trust,2
1782,Danish National Diabetes Registry,2
1030,CENTRO-01-0145-FEDER-000012-HealthyAging2020,2
1029,CDL,2
512,Association Française des Diabétiques,2
589,"Australian Diabetes Society, ADS",2
7486,Stiftelsen Sven Jerrings Fond,2
1781,Danish National Board of Health,2
8479,Visual Sciences Academic Clinical Program,2
1436,"Chinese Center for Disease Control and Prevention, CCDC",2
929,"Bournemouth University, BU",2
1786,Danish Society of Ophthalmology,2
5820,Nipro Corporation,1
5816,Nippon Medical School,1
5669,Natural Science Foundation Key Program of Jiangxi Province,1
5835,Nordic Cancer Union,1
8342,"Università degli Studi di Parma, UNIPR",1
5834,Noor Dubai Foundation,1
8343,"Università degli Studi di Udine, Uniud",1
8423,Vejle Hospital,1
8341,"Università degli Studi di Genova, Clinica Oculistica",1
5815,Nippon Chemiphar Company Ltd,1
5808,"Ningbo University, NBU",1
5833,Non‐Profit Central Research Institute Fund of Chinese Academy of Medical Sciences,1
5814,"Nippon Chemiphar Co., Ltd.",1
8340,Università degli Studi di Firenze,1
5670,Natural Science Foundation Major International,1
8416,Vanderbilt Vision Research Center NEI,1
5671,"Natural Science Foundation Project of Chongqing, Chongqing Science and Technology Commission",1
5647,National Sun Yat-sen University-KCGMH Joint Research Project,1
8407,Valon Lasers,1
8345,"Università di Catania, UNICT",1
8419,Vasa Hospital district,1
5818,Nippon Suisan Co. Ltd.,1
8420,Vastora Inc.,1
5645,National Social Science Foundation of China,1
8315,University of Toronto Centre for Collaborative Drug Research,1
5805,Ningbo Science and Technology Service Industry Demonstration Project,1
5817,Nippon Shinyaku,1
8408,Valérie Pilorget,1
8409,Vancouver Canada,1
5807,"Ningbo University , Zhejiang Key Laboratory of Pathophysiology",1
8329,"University of Wisconsin Carbone Cancer Center, UWCCC",1
8328,University of Wisconsin,1
8427,Verana Health,1
5809,Ningbo major science and technology task project,1
5646,"National Stem Cell, Inc.",1
8410,Vancouver Coastal Health Authority,1
8339,"Università degli Studi di Ferrara, UNIFE",1
8330,University of Wisconsin Translational Research Initiatives,1
5650,"National University Singapore Yong Loo Lin School of Medicine, Singapore",1
5663,Nationwide Children's Hospital,1
8334,"University of the East, UE",1
8417,"Vanier Canada Graduate Scholarship, Canada",1
5822,"Nipro Home Diagnostics, Inc.",1
5825,Nitto Boseki Co. Ltd.,1
5662,Nationales Aktionsforum Diabetes Mellitus,1
5658,National and Local Joint Engineering Research Centre for Mongolian Medicine Research and Development,1
5824,Nitten Pharmaceutical,1
8333,University of York,1
5664,Nationwide Children’s Hospital,1
5661,National “Twelfth Five-Year” Plan for Science and Technology Support,1
5651,National University industry university,1
8414,"Vanderbilt University Medical Center, VUMC",1
5660,National key research plan,1
8323,University of Vermont Medical Center,1
5652,"National University of Sciences and Technology, NUST",1
5659,National eye Institute Center Core,1
8422,Vejle County,1
5649,National Twelfth Five-Year Plan for Science and Technology Support,1
8335,University-level Scientific Research Projects of Hunan University of Chinese Medicine,1
8320,University of Utah Neuroscience Initiative,1
8337,"UniversitÃ¤tsspital ZÃ¼rich, USZ",1
5812,"Nippon Boehringer Ingelheim Co., Ltd.",1
5831,Non-Profit Corporation,1
8338,"UniversitÃ© Laval, UL",1
5830,Non-Profit Central Research Institute Fund of Chinese Academy of Medical Sciences,1
5667,Natural Foundation of the Education Department of Sichuan Province,1
5829,Non-NET-University Grants Commission,1
8331,"University of Wisconsin, Madison, School of Medicine",1
5656,National and International Networking program,1
5828,Nobuhisa Mizuno and Hirofumi Fukumoto,1
5655,National and Central Health and Medical Research Councils of Australia,1
8421,"Vedecká Grantová Agentúra MŠVVaŠ SR a SAV, VEGA",1
8418,Vasa Hospital District,1
5666,Natural Foundation of Chengdu Medical College,1
8325,University of Washington,1
