,Journal,Document Type,counts
5937,Journal of basic and clinical physiology and pharmacology,Review,2
6937,Journal of theoretical biology,Article,2
4548,Globalization and health,Review,2
6915,Journal of the royal college of physicians of edinburgh,Article,2
8708,Photochemistry and photobiology,Article,2
6913,Journal of the peripheral nervous system,Article,2
1170,Annals of hepatology,Article,2
10336,The australian journal of rural health,Article,2
8712,Photomedicine and laser surgery,Review,2
10335,The australian journal of optometry,Article,2
6912,Journal of the pancreas,Article,2
6911,Journal of the pakistan medical association,Review,2
6910,Journal of the pakistan medical association,Letter,2
6909,Journal of the pakistan medical association,Editorial,2
4531,Giornale italiano di diabetologia e metabolismo,Editorial,2
8698,Pharmazie in unserer zeit,Short survey,2
10359,The diabetic foot: medical and surgical management: third edition,Book chapter,2
1129,Annali di ottalmologia e clinica oculistica,Review,2
8694,Pharmazeutische zeitung,Short survey,2
10372,The indian journal of pediatrics,Article,2
6935,Journal of the wakayama medical society,Article,2
1106,Annales de biologie clinique,Article,2
8670,Pharmacology of ocular therapeutics,Book chapter,2
8671,Pharmacology research and perspectives,Review,2
7476,Medicina clinica,Letter,2
4861,"Icdcs 2022 - 2022 6th international conference on devices, circuits and systems",Conference paper,2
8675,Pharmacotherapy of diabetes: new developments: improving life and prognosis for diabetic patients,Book chapter,2
4607,Handbook of forensic medicine,Book chapter,2
7947,Neural networks,Article,2
1113,Annales de pediatrie,Article,2
1115,Annales medico-psychologiques,Article,2
4603,Handbook of experimental pharmacology,Article,2
4602,Handbook of clinical neurology,Book chapter,2
5921,Journal of association of physicians of india,Letter,2
4600,Handbook of basic and clinical ocular pharmacology and therapeutics,Book chapter,2
1116,Annales nestle,Review,2
1119,Annales pharmaceutiques francaises,Review,2
8681,Pharmacy times,Article,2
7946,Neural network world,Article,2
5925,Journal of atherosclerosis and thrombosis,Review,2
8685,Pharmacy world and science,Article,2
1123,"Annali dell""ospedale maria vittoria di torino",Article,2
4585,Gynakologische praxis,Note,2
8690,Pharmazeutische industrie,Short survey,2
10362,The epidemiology of diabetes mellitus: second edition,Book chapter,2
6929,Journal of the showa medical association,Article,2
1112,Annales de medecine interne,Letter,2
10549,Thrombosis and haemostasis,Note,2
5848,Journal de médecine de bordeaux et du sud-ouest,Article,2
8239,Ocular surface,Letter,2
10846,Visual neuroscience,Conference paper,2
8228,Ocular disease: mechanisms and management expert consult,Book chapter,2
5394,International journal of health care quality assurance,Article,2
5393,International journal of gynecology and obstetrics,Article,2
8229,Ocular drug delivery systems: barriers and application of nanoparticulate systems,Book chapter,2
7192,Lebensversicherungsmedizin,Article,2
7191,Le mali médical,Article,2
263,"2020 11th international conference on computing, communication and networking technologies, icccnt 2020",Conference paper,2
10839,Visual computer,Article,2
5386,International journal of general medicine,Review,2
10837,Vision research,Review,2
5383,International journal of food sciences and nutrition,Article,2
269,"2020 6th international conference on advanced computing and communication systems, icaccs 2020",Conference paper,2
10836,Vision research,Editorial,2
8241,Ocular telehealth: a practical guide,Book chapter,2
7366,Medecine therapeutique,Review,2
274,"2020 ieee 15th international conference on industrial and information systems, iciis 2020 - proceedings",Conference paper,2
10832,Vision (switzerland),Article,2
10831,Vision,Article,2
277,"2020 ieee 5th international conference on computing communication and automation, iccca 2020",Conference paper,2
280,"2020 ieee international conference for innovation in technology, inocon 2020",Conference paper,2
285,"2020 ieee student conference on research and development, scored 2020",Conference paper,2
286,"2020 international conference for emerging technology, incet 2020",Conference paper,2
10824,Virchows archiv b cell pathology including molecular pathology,Article,2
289,"2020 international conference on computational performance evaluation, compe 2020",Conference paper,2
10823,Vie medicale au canada francais,Article,2
5363,International journal of endocrinology and metabolism,Review,2
8249,Oftalmologicheskiǐ zhurnal,Article,2
10818,Veterinary sciences,Article,2
5734,Jama - journal of the american medical association,Short survey,2
8227,Ocular disease: mechanisms and management,Book chapter,2
252,"2019 ieee international conference on power, intelligent computing and systems, icpics 2019",Conference paper,2
251,"2019 ieee colombian conference on applications in computational intelligence, colcaci 2019 - proceedings",Conference paper,2
5723,Jama,Editorial,2
5712,J.kansai med.univ.,Article,2
201,"2018 5th international conference on signal processing and integrated networks, spin 2018",Conference paper,2
7213,Lege artis medicinae,Short survey,2
7212,Lege artis medicinae,Review,2
206,"2018 ieee 16th student conference on research and development, scored 2018",Conference paper,2
5440,International journal of microcirculation-clinical and experimental,Article,2
5439,"International journal of microcirculation, clinical and experimental / sponsored by the european society for microcirculation",Article,2
10887,Wiadomosci lekarskie,Review,2
5436,International journal of medical sciences,Review,2
5434,International journal of medical informatics,Review,2
10884,"Western journal of surgery, obstetrics, and gynecology",Article,2
5429,International journal of lower extremity wounds,Review,2
10880,Western journal of medicine,Conference paper,2
10877,West african medical journal,Article,2
8210,Obstetrical and gynecological survey,Review,2
222,"2018 international workshop on advanced image technology, iwait 2018",Conference paper,2
224,"2018 medical technologies national congress, tiptekno 2018",Conference paper,2
225,"2019 10th international conference on computing, communication and networking technologies, icccnt 2019",Conference paper,2
10868,Vracebnoe delo kiev,Article,2
8215,Obstetrics and gynecology clinics of north america,Article,2
10865,"Voprosy kurortologii, fizioterapii, i lechebnoǐ fizicheskoǐ kultury",Article,2
10863,Vojnosanitetski pregled. military-medical and pharmaceutical review,Article,2
236,"2019 4th international conference on information systems and computer networks, iscon 2019",Conference paper,2
238,"2019 5th international conference on advanced computing and communication systems, icaccs 2019",Conference paper,2
8053,"Nevrologiya, neiropsikhiatriya, psikhosomatika",Article,2
8052,Neurovascular medicine: pursuing cellular longevity for healthy aging,Book chapter,2
5409,International journal of immunogenetics,Article,2
244,"2019 asia-pacific signal and information processing association annual summit and conference, apsipa asc 2019",Conference paper,2
10851,Vitamins and hormones,Review,2
5354,International journal of electrical and electronics research,Article,2
5352,International journal of eating disorders,Article,2
10896,"Wiener klinische wochenschrift, supplement",Review,2
7381,Medical acupuncture,Editorial,2
5745,Jama neurology,Article,2
359,"2022 1st international conference on computational science and technology, iccst 2022 - proceedings",Conference paper,2
8043,Neuroscientist,Review,2
362,"2022 2nd international conference on advances in electrical, computing, communication and sustainable technologies, icaect 2022",Conference paper,2
10768,Vaccines,Article,2
5294,International journal of circumpolar health,Review,2
366,"2022 3rd international conference for emerging technology, incet 2022",Conference paper,2
5292,International journal of chemtech research,Article,2
367,"2022 3rd international conference on artificial intelligence and data sciences: championing innovations in artificial intelligence and data sciences for sustainable future, aidas 2022 - proceedings",Conference paper,2
7151,Laboratory animal science,Article,2
370,"2022 5th international conference on multimedia, signal processing and communication technologies, impact 2022",Conference paper,2
8281,Onkologia polska,Article,2
8282,Online journal of biological sciences,Article,2
5283,International journal of business information systems,Article,2
378,"2022 ieee 3rd global conference for advancement in technology, gcat 2022",Conference paper,2
10812,Vestnik rossiiskoi akademii meditsinskikh nauk / rossiiskaia akademiia meditsinskikh nauk,Article,2
5280,International journal of biomedicine,Article,2
383,"2022 ieee calcutta conference, calcon 2022 - proceedings",Conference paper,2
384,"2022 ieee delhi section conference, delcon 2022",Conference paper,2
5275,International journal of biology and biomedical engineering,Article,2
5274,International journal of biological sciences,Review,2
10751,Undersea and hyperbaric medicine,Article,2
7384,Medical and biological engineering and computing,Review,2
391,"2022 international conference on advanced computing technologies and applications, icacta 2022",Conference paper,2
393,"2022 international conference on computer communication and informatics, iccci 2022",Conference paper,2
5754,Jama ophthalmology,Short survey,2
7138,La ricerca in clinica e in laboratorio,Article,2
8289,Open computer science,Article,2
398,"2022 international conference on innovative trends in information technology, icitiit 2022",Conference paper,2
5258,International journal of applied pharmaceutics,Review,2
10773,Value in health,Review,2
5303,International journal of clinical pharmacology research,Review,2
10776,Vasa - journal of vascular diseases,Conference paper,2
7375,Medgenmed medscape general medicine,Letter,2
10805,Versicherungsmedizin / herausgegeben von verband der lebensversicherungs-unternehmen e.v. und verband der privaten krankenversicherung e.v,Review,2
310,"2021 4th international seminar on research of information technology and intelligent systems, isriti 2021",Conference paper,2
5347,International journal of digital content technology and its applications,Article,2
312,"2021 5th international conference on computer, communication, and signal processing, icccsp 2021",Conference paper,2
5345,International journal of diabetes mellitus,Letter,2
7171,Larc medical,Article,2
5343,International journal of diabetes mellitus,Article,2
314,"2021 5th international conference on electrical information and communication technology, eict 2021",Conference paper,2
317,"2021 6th international conference on recent trends on electronics, information, communication and technology, rteict 2021",Conference paper,2
324,"2021 ieee 2nd international congress of biomedical engineering and bioengineering, ci-ib and bi 2021",Conference paper,2
5736,Jama cardiology,Letter,2
10796,"Vascular surgery: cases, questions and commentaries",Book chapter,2
326,"2021 ieee bombay section signature conference, ibssc 2021",Conference paper,2
7162,Lakartidningen,Note,2
5328,International journal of computing and digital systems,Article,2
5326,International journal of computer information systems and industrial management applications,Article,2
7372,Medecine/sciences,Review,2
8047,Neurotoxicity research,Article,2
5321,International journal of computational vision and robotics,Article,2
8046,Neurotherapeutics,Article,2
5319,International journal of computational intelligence systems,Article,2
342,"2021 international conference on emerging smart computing and informatics, esci 2021",Conference paper,2
8268,Oncogene,Article,2
343,"2021 international conference on high performance big data and intelligent systems, hpbd and is 2021",Conference paper,2
7373,Medeniyet medical journal,Article,2
346,"2021 international conference on nascent technologies in engineering, icnet 2021 - proceedings",Conference paper,2
5744,Jama network open,Note,2
5307,International journal of clinical practice,Conference paper,2
10778,Vasa - journal of vascular diseases,Review,2
196,"2018 13th international conference on industrial and information systems, iciis 2018 - proceedings",Conference paper,2
5452,International journal of nephrology,Article,2
10499,Therapeutic advances in cardiovascular disease,Review,2
80,"2013 ieee conference on information and communication technologies, ict 2013",Conference paper,2
5603,Internist,Review,2
61,"2012 ieee 2nd portuguese meeting in bioengineering, enbeng 2012",Conference paper,2
5673,Iryo - japanese journal of national medical services,Article,2
10996,"Zentralblatt fur arbeitsmedizin, arbeitsschutz und ergonomie",Article,2
64,"2012 ieee-embs conference on biomedical engineering and sciences, iecbes 2012",Conference paper,2
10994,Zeitschrift für klinische medizin,Article,2
5593,International urology and nephrology,Review,2
68,"2012 international conference on computing, electronics and electrical technologies, icceet 2012",Conference paper,2
7316,Materials express,Article,2
10985,Zeitschrift fur medizinische laboratoriumsdiagnostik,Article,2
5584,International review of neurobiology,Editorial,2
8133,Npj digital medicine,Erratum,2
8135,Npj digital medicine,Review,2
5680,Isiea 2010 - 2010 ieee symposium on industrial electronics and applications,Conference paper,2
82,"2013 ieee international conference on emerging trends in computing, communication and nanotechnology, ice-ccn 2013",Conference paper,2
5553,International journal of vascular medicine,Review,2
7324,Mathematical problems in engineering,Article,2
10974,Zeitschrift fur arztliche fortbildung,Review,2
5572,International ophthalmology clinics,Conference paper,2
7326,"Mathematics in engineering, science and aerospace",Article,2
5568,International ophthalmology,Conference paper,2
93,"2014 22nd signal processing and communications applications conference, siu 2014 - proceedings",Conference paper,2
5566,International neurourology journal,Article,2
5683,"Ismsit 2018 - 2nd international symposium on multidisciplinary studies and innovative technologies, proceedings",Conference paper,2
5562,International journal on recent and innovation trends in computing and communication,Article,2
10968,Zebrafish model for biomedical research,Book chapter,2
5559,International journal on electrical engineering and informatics,Article,2
5558,International journal on artificial intelligence tools,Article,2
8143,"Nucleosides, nucleotides and nucleic acids",Article,2
100,"2014 ieee international symposium on signal processing and information technology, isspit 2014",Conference paper,2
5605,Internistische praxis,Article,2
8120,North american journal of medical sciences,Letter,2
11003,Zhejiang da xue xue bao. yi xue ban = journal of zhejiang university. medical sciences,Article,2
11004,Zhejiang da xue xue bao. yi xue ban = journal of zhejiang university. medical sciences,Review,2
2,"11th ieee india conference: emerging trends and innovation in technology, indicon 2014",Conference paper,2
11043,[sōgō rinshō] clinic all-round,Article,2
7299,Marine drugs,Article,2
7,"13th international conference on advances in computing, control, and telecommunication technologies, act 2022",Conference paper,2
11041,[kangogaku zasshi] the japanese journal of nursing,Article,2
13,"17th ieee international multi topic conference: collaborative and sustainable development of technologies, ieee inmic 2014 - proceedings",Conference paper,2
5648,Iranian journal of pharmaceutical research,Article,2
7290,Malaysian journal of public health medicine,Article,2
7289,Malaysian journal of pathology,Article,2
7288,Malaysian journal of medicine and health sciences,Article,2
11031,Zhonghua yu fang yi xue za zhi [chinese journal of preventive medicine],Article,2
5640,Iranian journal of immunology,Article,2
24,"1st international conference on robotics, electrical and signal processing techniques, icrest 2019",Conference paper,2
11024,Zhonghua nei ke za zhi,Article,2
11023,Zhonghua nan ke xue = national journal of andrology,Article,2
5632,"Iranian conference on machine vision and image processing, mvip",Conference paper,2
7302,Marmara medical journal,Review,2
33,"2009 world congress on nature and biologically inspired computing, nabic 2009 - proceedings",Conference paper,2
5628,Investigative radiology,Article,2
35,"2010 17th iranian conference of biomedical engineering, icbme 2010 - proceedings",Conference paper,2
11018,Zhongguo zhongyao zazhi,Review,2
5623,Investigative ophthalmology and visual science,Editorial,2
44,"2011 1st international econference on computer and knowledge engineering, iccke 2011",Conference paper,2
7280,Malawi medical journal,Article,2
5619,Investigative ophthalmology & visual science,Note,2
5618,Investigative ophthalmology & visual science,Letter,2
11011,Zhongguo zhen jiu = chinese acupuncture & moxibustion,Article,2
5614,Investigational new drugs,Article,2
8118,Norsk epidemiologi,Article,2
7252,Lupus,Article,2
8076,Nieren- und hochdruckkrankheiten,Conference paper,2
5453,International journal of nephrology,Review,2
8184,Nutrition reviews,Review,2
7234,Lifetime data analysis,Review,2
8173,Nutrition and diabetes,Review,2
7338,Mayo clinic proceedings,Short survey,2
154,"2016 international conference on digital image computing: techniques and applications, dicta 2016",Conference paper,2
10929,World journal of gastroenterology,Review,2
8070,New zealand medical journal,Editorial,2
8177,Nutrition and metabolism,Review,2
158,"2016 international conference on next generation intelligent systems, icngis 2016",Conference paper,2
10918,"World academy of science, engineering and technology",Article,2
10917,Work,Article,2
8067,New york state journal of medicine,Review,2
5484,International journal of pharmaceutical quality assurance,Article,2
5481,International journal of pharma and bio sciences,Review,2
8183,Nutrition reviews,Article,2
10912,Wissenschaftliche blatter zu problemen des blinden und sehschwachenwesen,Article,2
106,"2014 international conference on circuits, power and computing technologies, iccpct 2014",Conference paper,2
8188,"Nutrition, metabolism and cardiovascular diseases",Short survey,2
5703,Italian journal of pediatrics,Review,2
182,"2017 ieee international conference on computational intelligence and computing research, iccic 2017",Conference paper,2
7345,Mechanisms of ageing and development,Article,2
10903,Wiley interdisciplinary reviews: nanomedicine and nanobiotechnology,Article,2
7346,Mechanisms of ageing and development,Review,2
187,"2017 international conference on advanced computer science and information systems, icacsis 2017",Conference paper,2
7216,Lekarsky obzor,Review,2
8196,Obesity facts,Article,2
191,"2017 international conference on energy, communication, data analytics and soft computing, icecds 2017",Conference paper,2
8198,Obesity medicine,Review,2
8199,Obesity research and clinical practice,Article,2
5456,International journal of neuroscience,Article,2
10898,Wiener medizinische wochenschrift,Review,2
5503,International journal of pharmtech research,Article,2
5695,"Ist 2019 - ieee international conference on imaging systems and techniques, proceedings",Conference paper,2
145,"2016 ieee annual india conference, indicon 2016",Conference paper,2
5508,International journal of preventive medicine,Letter,2
5549,International journal of tuberculosis and lung disease,Article,2
107,"2014 international conference on control, instrumentation, communication and computational technologies, iccicct 2014",Conference paper,2
109,"2014 international conference on electronics and communication systems, icecs 2014",Conference paper,2
10960,Yingxiang kexue yu guanghuaxue/imaging science and photochemistry,Article,2
5544,International journal of telemedicine and applications,Article,2
5543,International journal of technology assessment in health care,Review,2
111,"2014 international conference on information communication and embedded systems, icices 2014",Conference paper,2
5688,Israel journal of medical sciences,Review,2
5538,International journal of surgery case reports,Article,2
119,"2015 23rd signal processing and communications applications conference, siu 2015 - proceedings",Conference paper,2
5535,International journal of std and aids,Article,2
8156,Nursing mirror and midwives journal,Article,2
5532,International journal of soft computing,Article,2
5531,International journal of signal and imaging systems engineering,Article,2
5529,International journal of scientific and technology research,Review,2
126,"2015 international conference on advances in computing, communications and informatics, icacci 2015",Conference paper,2
7243,Lipids in health and disease,Review,2
8074,New zealand medical journal,Short survey,2
1,"11th annual ieee information technology, electronics and mobile communication conference, iemcon 2020",Conference paper,2
7240,Lille medical,Article,2
135,"2016 13th international joint conference on computer science and software engineering, jcsse 2016",Conference paper,2
10941,Wseas transactions on biology and biomedicine,Article,2
10940,Wounds,Review,2
138,"2016 39th international conference on telecommunications and signal processing, tsp 2016",Conference paper,2
141,"2016 5th international conference on wireless networks and embedded systems, wecon 2016",Conference paper,2
5513,International journal of radiation oncology biology physics,Article,2
5511,International journal of psychophysiology,Article,2
5510,International journal of psychiatry in medicine,Article,2
142,"2016 6th international conference on image processing theory, tools and applications, ipta 2016",Conference paper,2
403,"2022 opju international technology conference on emerging technologies for sustainable development, otcon 2022",Conference paper,2
7132,La pediatria medica e chirurgica : medical and surgical pediatrics,Article,2
406,"2023 2nd international conference on paradigm shifts in communications embedded systems, machine learning and signal processing, pcems 2023",Conference paper,2
8447,Osetrovatelstvi a porodni asistence,Article,2
5003,Immunotherapy,Review,2
8016,Neuromolecular medicine,Review,2
4998,"Immunology, endocrine and metabolic agents in medicinal chemistry",Article,2
8435,"Oral surgery, oral medicine, oral pathology, oral radiology, and endodontics",Article,2
8814,Postgraduate medical journal,Note,2
739,Advances in eye research,Book chapter,2
8014,Neuromethods,Book chapter,2
4992,Immunological investigations,Article,2
740,Advances in gerontology = uspekhi gerontologii,Article,2
8011,Neurology: clinical practice,Article,2
745,Advances in intelligent and soft computing,Conference paper,2
746,Advances in intelligent systems and computing,Article,2
8446,Osa continuum,Article,2
4983,Imj. illinois medical journal,Article,2
8448,Osong public health and research perspectives,Article,2
5814,Jk science,Review,2
747,Advances in intelligent systems and computing,Book chapter,2
750,Advances in mathematics: scientific journal,Article,2
8451,Osteoarthritis and cartilage,Article,2
5809,Jk practitioner,Article,2
751,Advances in mechanical engineering,Article,2
752,Advances in medical sciences,Article,2
4971,Ihi'10 - proceedings of the 1st acm international health informatics symposium,Conference paper,2
10544,Thescientificworldjournal,Article,2
758,Advances in neurobiology,Book chapter,2
759,Advances in nutrition,Review,2
4963,Iet nanobiotechnology,Article,2
10541,Therapy,Editorial,2
8459,"Otjr occupation, participation and health",Article,2
7435,Medical journal of malaysia,Letter,2
7033,Kardiologia polska,Review,2
725,Advances in chronic kidney disease,Review,2
5007,Implementation science communications,Article,2
10562,Tijdschrift voor kindergeneeskunde,Article,2
670,Acta physiologica,Review,2
10588,Toxicology and applied pharmacology,Article,2
672,"Acta physiologica, pharmacologica et therapeutica latinoamericana : órgano de la asociación latinoamericana de ciencias fisiológicas y [de] la asociación latinoamericana de farmacología",Article,2
8411,Optical engineering,Article,2
8412,Optical imaging for biomedical and clinical applications,Book chapter,2
10586,Toxicologic pathology,Review,2
8022,Neuropharmacology,Review,2
675,Acta polytechnica hungarica,Article,2
679,Acta scholae medicinalis universitatis in gifu,Article,2
5041,Indian journal of medical research,Note,2
5040,Indian journal of medical research,Editorial,2
5038,Indian journal of medical microbiology,Article,2
685,Actas dermo-sifiliograficas,Letter,2
687,Actualites pharmaceutiques,Article,2
5033,Indian journal of experimental biology,Article,2
10581,Topics in geriatric rehabilitation,Review,2
694,Adipocyte,Review,2
10576,Tokai journal of experimental and clinical medicine,Article,2
7424,Medical journal of australia,Short survey,2
5023,Indian journal of community health,Article,2
709,Advanced studies in medicine,Editorial,2
10568,Tissue barriers,Review,2
8421,Option/bio,Article,2
5018,Indian journal of biochemistry and biophysics,Article,2
714,Advancements in bio-medical image processing and authentication in telemedicine,Book chapter,2
10565,Tissue and cell,Article,2
7040,Kazan medical journal,Article,2
8425,Optometry,Review,2
8427,"Optometry (st. louis, mo.)",Article,2
4959,Iet computer vision,Article,2
7436,Medical journal of malaysia,Review,2
10738,Ugeskrift for laeger,Note,2
7441,Medical journal of the islamic republic of iran,Article,2
4899,Ieee inmic 2008: 12th ieee international multitopic conference - conference proceedings,Conference paper,2
8500,Pakistan journal of zoology,Article,2
7439,Medical journal of osaka university,Article,2
5837,Journal - michigan state medical society,Article,2
815,Aging male,Article,2
8504,Pan african medical journal,Note,2
818,Agro food industry hi-tech,Article,2
10510,Therapeutic apheresis and dialysis,Review,2
821,Aids,Letter,2
7992,Neurological sciences,Article,2
8508,Pancreas,Review,2
5840,Journal africain d'hepato-gastroenterologie,Article,2
4883,Idap 2017 - international artificial intelligence and data processing symposium,Conference paper,2
4882,Icsns 2018 - proceedings of ieee international conference on soft-computing and network security,Conference paper,2
8510,Pancreatology,Review,2
5816,Jmir formative research,Article,2
825,Aist 2022 - 4th international conference on artificial intelligence and speech technology,Conference paper,2
832,Akusherstvo i ginekologiia,Article,2
7443,Medical management of diabetes and heart disease,Book chapter,2
5841,Journal d'echographie et de medecine ultrasonore,Article,2
8515,Parkinsonism and related disorders,Article,2
835,Akusherstvo i ginekologiya,Review,2
7991,Neurological research,Article,2
4872,"Iciiecs 2015 - 2015 ieee international conference on innovations in information, embedded and communication systems",Conference paper,2
4871,Iciibms 2017 - 2nd international conference on intelligent informatics and biomedical sciences,Conference paper,2
4868,"Icicos 2019 - 3rd international conference on informatics and computational sciences: accelerating informatics and computational research for smarter society in the era of industry 4.0, proceedings",Conference paper,2
4867,"Icic express letters, part b: applications",Article,2
4866,Icic express letters,Article,2
836,Al-rafidain journal of medical sciences,Review,2
8521,Pathobiology of human disease: a dynamic encyclopedia of disease mechanisms,Book chapter,2
812,Aging clinical and experimental research,Review,2
808,Aging and mental health,Article,2
4905,Ieee international conference on electro information technology,Conference paper,2
7994,Neurological surgery,Article,2
5817,Jmir medical informatics,Article,2
5819,Jmir public health and surveillance,Article,2
8468,Ouest medical,Article,2
769,"Advances in predictive, preventive and personalised medicine",Article,2
771,Advances in protein chemistry and structural biology,Book chapter,2
775,"Advances in science, technology and innovation",Book chapter,2
4943,Ieee transactions on information technology in biomedicine,Conference paper,2
779,Advances in traditional medicine,Article,2
4941,Ieee transactions on image processing,Article,2
5821,Jmir research protocols,Review,2
8003,Neurology asia,Article,2
4931,Ieee sensors letters,Article,2
4929,Ieee reviews in biomedical engineering,Review,2
4927,"Ieee region 10 humanitarian technology conference 2016, r10-htc 2016 - proceedings",Conference paper,2
10525,Therapeutische umschau,Editorial,2
8482,Padiatrische praxis,Article,2
8483,Padiatrische praxis,Review,2
7998,Neurology,Editorial,2
790,African journal of medicine and medical sciences,Article,2
4919,Ieee journal of translational engineering in health and medicine,Article,2
4918,Ieee journal of biomedical and health informatics,Review,2
4917,Ieee journal of biomedical and health informatics,Editorial,2
792,African journal of primary health care and family medicine,Article,2
5832,Jornal brasileiro de nefrologia : 'orgao oficial de sociedades brasileira e latino-americana de nefrologia,Review,2
8489,Paediatrics and child health (united kingdom),Review,2
7995,Neurologist,Article,2
4910,"Ieee international conference on power, control, signals and instrumentation engineering, icpcsi 2017",Conference paper,2
803,Agents and actions,Article,2
4907,Ieee international conference on image processing,Conference paper,2
10591,Toxicology in vitro,Article,2
10592,Trac - trends in analytical chemistry,Review,2
5057,Indian journal of ophthalmology,Short survey,2
478,"6th ieee international conference on computational system and information technology for sustainable solutions, csitss 2022",Conference paper,2
8324,Ophthalmic pathology: the evolution of modern concepts,Book chapter,2
7111,Korean journal of pharmacognosy,Article,2
5201,"International conference on futuristic technologies in control systems and renewable energy, icfcr 2020",Conference paper,2
461,"4th international conference on inventive research in computing applications, icirca 2022 - proceedings",Conference paper,2
10697,Turk osteoporoz dergisi,Article,2
466,"5th biennial international conference on nascent technologies in engineering, icnte 2023",Conference paper,2
467,"5th ieee international conference on advances in science and technology, icast 2022",Conference paper,2
10695,Turk oftalmoloiji dergisi,Letter,2
10694,Turk oftalmoloiji dergisi,Editorial,2
471,"5th international conference on intelligent computing in data sciences, icds 2021",Conference paper,2
472,"5th international conference on inventive computation technologies, icict 2022 - proceedings",Conference paper,2
5190,"International conference on control, automation and systems",Conference paper,2
8334,Ophthalmic surgery,Letter,2
8335,Ophthalmic surgery,Review,2
10688,Tunisie medicale,Review,2
5058,Indian journal of otolaryngology and head and neck surgery,Article,2
5771,Japanese journal of clinical chemistry,Article,2
480,"6th international conference on electronics, communication and aerospace technology, iceca 2022 - proceedings",Conference paper,2
5181,"International conference on automatic control and dynamic optimization techniques, icacdot 2016",Conference paper,2
8340,Ophthalmic surgery lasers and imaging,Review,2
489,"8th international conference on smart structures and systems, icsss 2022",Conference paper,2
8347,Ophthalmic surgery lasers and imaging retina,Short survey,2
5171,International archives of occupational and environmental health,Article,2
7095,Klinische wochenschrift,Review,2
5169,International archives of allergy and immunology,Article,2
500,Aaai 2020 - 34th aaai conference on artificial intelligence,Conference paper,2
10667,Trends in molecular medicine,Short survey,2
5163,Internal medicine journal,Review,2
5160,Internal medicine,Review,2
514,Academic radiology,Article,2
5766,Japanese circulation journal,Article,2
8321,Ophthalmic genetics,Review,2
8320,Ophthalmic genetics,Letter,2
457,"3rd international conference on smart electronics and communication, icosec 2022 - proceedings",Conference paper,2
416,"2023 ieee 3rd international conference on electronic technology, communication and information, icetci 2023",Conference paper,2
5248,International journal of africa nursing sciences,Article,2
417,"2023 ieee 8th international conference for convergence in technology, i2ct 2023",Conference paper,2
8035,Neuroscience and behavioral physiology,Article,2
422,"2023 international conference on artificial intelligence and smart communication, aisc 2023",Conference paper,2
8303,Opennano,Article,2
10730,U.s. pharmacist,Note,2
5240,International journal of advanced and applied sciences,Article,2
428,"2023 international conference on recent advances in electrical, electronics, ubiquitous communication, and computational intelligence, raeeucci 2023",Conference paper,2
430,"22nd international conference on miniaturized systems for chemistry and life sciences, microtas 2018",Conference paper,2
5235,International journal for equity in health,Article,2
433,"26th ieee signal processing and communications applications conference, siu 2018",Conference paper,2
10722,Type 1 diabetes in adults: principles and practice,Book chapter,2
8309,Ophtalmologie : organe de la société française d'ophtalmologie,Article,2
5230,International immunopharmacology,Review,2
7119,Kumamoto medical journal,Article,2
5227,International health,Article,2
10714,Turkish journal of ophthalmology,Letter,2
5224,International encyclopedia of public health,Book chapter,2
7394,Medical decision making,Article,2
447,"33rd aaai conference on artificial intelligence, aaai 2019, 31st innovative applications of artificial intelligence conference, iaai 2019 and the 9th aaai symposium on educational advances in artificial intelligence, eaai 2019",Conference paper,2
7395,Medical devices: evidence and research,Article,2
5220,International congress on ultra modern telecommunications and control systems and workshops,Conference paper,2
5218,"International conference on sustainable computing and smart systems, icscss 2023 - proceedings",Conference paper,2
5217,"International conference on sustainable computing and data communication systems, icscds 2022 - proceedings",Conference paper,2
5215,"International conference on smart systems for applications in electrical sciences, icsses 2023",Conference paper,2
8317,Ophthalmic epidemiology,Letter,2
454,"3rd international conference on electrical, electronics, communication, computer technologies and optimization techniques, iceeccot 2018",Conference paper,2
5210,International conference on multimedia computing and systems -proceedings,Conference paper,2
10658,Trends in cardiovascular medicine,Review,2
520,"Acm transactions on multimedia computing, communications and applications",Article,2
521,Acs applied bio materials,Article,2
5105,Inflammation and regeneration,Review,2
8028,Neuropsychiatric disease and treatment,Article,2
8383,Ophthalmology and therapy,Note,2
597,Acta medica austriaca,Review,2
10618,Transactions of the pacific coast oto-ophthalmological society annual meeting,Review,2
599,Acta medica bulgarica,Article,2
5096,Infectious diseases in clinical practice,Article,2
5092,Infection and drug resistance,Article,2
10611,Transactions of the canadian ophthalmological society,Article,2
612,Acta medica okayama,Article,2
613,Acta medica philippina,Article,2
616,Acta medica saliniana,Article,2
5087,Indicon 2022 - 2022 ieee 19th india council international conference,Conference paper,2
5085,Indian pediatrics,Review,2
618,"Acta medica scandinavica, supplement",Article,2
10610,Transactions of the australian college of ophthalmologists,Article,2
5081,Indian journal of transplantation,Article,2
10609,Transactions of the association of american physicians,Article,2
10608,Transactions of the annual meeting of the society for biomaterials and the annual international biomaterials symposium,Conference paper,2
7062,Kidney research and clinical practice,Letter,2
8398,Ophthalmology retina,Letter,2
630,Acta ophthalmologica,Conference paper,2
5073,Indian journal of public health,Article,2
643,Acta ophthalmologica. supplement,Article,2
5069,Indian journal of pharmacology,Article,2
646,Acta orthopaedica,Article,2
